Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
Kota Baubau,15636,16162,8435,8703
GORONTALO,14822,15221,5656,5849
Boalemo,14470,14963,4022,4180
Gorontalo,14836,15427,4228,4442
Pohuwato,13871,14045,7225,7306
Bone Bolango,14890,15438,5652,5895
Gorontalo Utara,14506,14907,4053,4232
Kota Gorontalo,18849,19129,6828,6984
SULAWESI BARAT,13459,13867,7025,7256
Majene,12451,12770,9237,9509
Polewali Mandar,12074,12525,7434,7741
Mamasa,8543,8867,7604,7809
Mamuju,12622,13163,6732,7011
Mamuju Utara / Pasangkayu,17349,17826,6286,6462
Mamuju Tengah,13104,13381,5377,5490
MALUKU,12047,12533,7775,8088
Maluku Tenggara Barat / Kepulauan Tanimbar,8595,8919,4100,4264
Maluku Tenggara,8876,9286,7341,7690
Maluku Tengah,11449,11940,9991,10347
Buru,16252,16967,8626,9000
Kepulauan Aru,11362,11942,5722,5950
Seram Bagian Barat,8955,9421,8481,8874
Seram Bagian Timur,13184,13764,6983,7275
Maluku Barat Daya,9934,10229,5645,5789
Buru Selatan,13146,13806,5992,6248
Kota Ambon,16705,17073,13650,13907
Kota Tual,10838,11211,5355,5565
MALUKU UTARA,12722,13274,7176,7500
Halmahera Barat,11008,11591,5925,6235
Halmahera Tengah,11343,11991,6550,6861
Kepulauan Sula,9970,10382,6956,7231
Halmahera Selatan,11284,11886,5695,5995
Halmahera Utara,11656,12215,6904,7232
Halmahera Timur,12758,13400,4578,4793
Pulau Morotai,11202,11665,2514,2650
Pulau Taliabu,11495,12037,4544,4734
Kota Ternate,18099,18721,10647,10990
Kota Tidore Kepulauan,10160,10699,8247,8598
PAPUA BARAT,11797,12190,5622,5804
Fakfak,11555,11778,4847,4964
Kaimana,12290,12672,5626,5832
Teluk Wondama,12753,13340,4414,4621
Teluk Bintuni,14022,14497,6664,6884
Manokwari,17867,18332,7604,7858
Sorong Selatan,8175,8605,4175,4435
Sorong,10955,11390,5369,5577
Raja Ampat,12457,12779,3913,4063
Tambrauw,8626,8931,2556,2671
Maybrat,7992,8286,3456,3617
Manokwari Selatan,9710,10063,2182,2286
Pegunungan Arfak,7138,7434,4364,4566
Kota Sorong,20076,20417,10775,10942
PAPUA BARAT DAYA,-,-,-,-
Raja Ampat,-,-,-,-
Sorong,-,-,-,-
Sorong Selatan,-,-,-,-
Maybrat,-,-,-,-
Tambrauw,-,-,-,-
Kota Sorong,-,-,-,-
PAPUA,10736,11253,4124,4332
Merauke,16514,17015,8089,8299
Jayawijaya,8739,9191,5496,5703
Jayapura,14655,15276,9068,9448
Nabire,14320,14851,8572,8846
Kepulauan Yapen,11233,11798,6586,6896
Biak Numfor,14408,15047,8518,8892
Paniai,10384,11047,2529,2669
